,age,capital-gain,capital-loss,education-num,education_type,employment_type,fnlwgt,hours-per-week,marital-status,native-country,race,relationship,sex
0,25.0,0.0,0.0,7.0,2.0,1.0,226802.0,40.0,1.0,1.0,3.0,4.0,1.0
1,38.0,0.0,0.0,9.0,2.0,1.0,89814.0,50.0,0.0,1.0,0.0,2.0,1.0
5,34.0,0.0,0.0,6.0,0.0,1.0,198693.0,30.0,1.0,1.0,0.0,3.0,1.0
8,24.0,0.0,0.0,10.0,0.0,1.0,369667.0,40.0,1.0,1.0,0.0,0.0,0.0
9,55.0,0.0,0.0,4.0,2.0,1.0,104996.0,10.0,0.0,1.0,0.0,2.0,1.0
11,36.0,0.0,0.0,13.0,2.0,0.0,212465.0,40.0,0.0,1.0,0.0,2.0,1.0
12,26.0,0.0,0.0,9.0,2.0,1.0,82091.0,39.0,1.0,1.0,0.0,3.0,0.0
16,20.0,0.0,0.0,10.0,0.0,0.0,444554.0,25.0,1.0,1.0,0.0,4.0,1.0
18,37.0,0.0,0.0,9.0,1.0,1.0,60548.0,20.0,1.0,1.0,0.0,0.0,0.0
21,34.0,0.0,0.0,10.0,0.0,1.0,238588.0,35.0,1.0,1.0,3.0,4.0,0.0
23,25.0,0.0,0.0,13.0,1.0,1.0,220931.0,43.0,1.0,0.0,0.0,3.0,1.0
24,25.0,0.0,0.0,13.0,0.0,1.0,205947.0,40.0,0.0,1.0,0.0,2.0,1.0
26,22.0,0.0,0.0,9.0,0.0,1.0,236427.0,20.0,1.0,1.0,0.0,4.0,1.0
27,23.0,0.0,0.0,9.0,-9.223372036854776e+18,1.0,134446.0,54.0,1.0,1.0,3.0,0.0,1.0
28,54.0,0.0,0.0,9.0,0.0,1.0,99516.0,35.0,0.0,1.0,0.0,2.0,1.0
29,32.0,0.0,0.0,10.0,0.0,2.0,109282.0,60.0,1.0,1.0,0.0,3.0,1.0
31,56.0,0.0,0.0,7.0,0.0,2.0,186651.0,50.0,1.0,1.0,0.0,0.0,0.0
